Date,Price,Open,High,Low,Volume
29/09/2015,1127.10,1132.40,1133.60,1123.90,0.25
30/09/2015,1115.50,1127.50,1127.50,1111.30,0.28
01/10/2015,1114.00,1114.90,1118.30,1111.00,0.26
02/10/2015,1136.70,1113.00,1140.70,1105.00,0.47
05/10/2015,1137.70,1138.70,1141.30,1129.80,0.20
06/10/2015,1146.40,1135.30,1149.80,1134.90,0.24
07/10/2015,1148.60,1145.80,1152.50,1142.00,0.27
08/10/2015,1144.20,1145.20,1150.40,1136.50,0.24
09/10/2015,1155.80,1139.40,1158.50,1139.40,0.22
12/10/2015,1164.40,1157.20,1168.10,1157.00,0.26
13/10/2015,1165.30,1161.10,1168.30,1152.90,0.30
14/10/2015,1179.60,1166.90,1189.00,1162.50,0.48
15/10/2015,1187.30,1184.30,1191.20,1174.70,0.43
16/10/2015,1182.90,1181.80,1184.10,1174.40,0.34
19/10/2015,1172.50,1175.90,1176.60,1168.30,0.18
20/10/2015,1177.20,1168.50,1180.40,1167.80,0.18
21/10/2015,1166.80,1176.30,1178.20,1163.60,0.20
22/10/2015,1165.80,1166.90,1170.70,1163.00,0.13
23/10/2015,1162.50,1165.90,1179.00,1158.70,0.45
26/10/2015,1165.90,1162.30,1168.90,1162.30,0.08
27/10/2015,1165.40,1163.60,1168.30,1160.50,0.26
28/10/2015,1175.70,1166.40,1182.00,1153.30,0.22
29/10/2015,1147.30,1156.10,1162.50,1144.20,155.61
30/10/2015,1141.40,1146.60,1149.80,1138.40,123.17
02/11/2015,1135.90,1141.30,1142.70,1132.20,106.36
03/11/2015,1114.10,1132.90,1138.00,1113.60,157.45
04/11/2015,1106.20,1117.40,1122.30,1105.60,157.67
05/11/2015,1104.20,1106.80,1111.30,1102.20,144.64
06/11/2015,1087.70,1103.20,1109.70,1084.50,199.87
09/11/2015,1088.10,1089.10,1094.90,1087.40,141.89
10/11/2015,1088.50,1090.80,1094.80,1084.00,144.17
11/11/2015,1084.90,1088.50,1093.50,1083.20,171.73
12/11/2015,1081.00,1085.40,1089.00,1073.00,208.30
13/11/2015,1080.90,1083.50,1088.00,1078.20,130.83
16/11/2015,1083.60,1087.90,1097.40,1080.50,151.38
17/11/2015,1068.60,1082.40,1085.10,1064.40,181.46
18/11/2015,1068.70,1070.20,1074.60,1062.00,154.64
19/11/2015,1077.90,1069.30,1086.60,1068.30,177.56
20/11/2015,1076.30,1079.70,1087.20,1074.90,157.70
23/11/2015,1066.80,1076.40,1076.50,1065.00,178.09
24/11/2015,1073.80,1068.50,1080.70,1068.10,158.53
25/11/2015,1070.00,1075.00,1080.40,1067.10,148.66
26/11/2015,1070.80,1070.10,1074.20,1069.20,0
27/11/2015,1056.10,1069.90,1073.70,1051.50,1.42
30/11/2015,1065.40,1057.10,1069.00,1052.30,0.76
01/12/2015,1063.60,1065.10,1074.20,1062.90,1.24
02/12/2015,1053.90,1068.10,1070.20,1049.60,0.61
03/12/2015,1061.30,1053.30,1064.70,1045.70,0.92
04/12/2015,1084.00,1063.00,1088.20,1058.30,1.54
07/12/2015,1075.40,1085.10,1085.20,1065.50,0.58
08/12/2015,1075.50,1070.20,1078.30,1067.10,0.39
09/12/2015,1076.80,1075.50,1085.10,1069.20,0.48
10/12/2015,1072.30,1071.80,1076.00,1069.50,0.17
11/12/2015,1076.00,1070.00,1079.40,1062.40,0.52
14/12/2015,1063.70,1073.50,1077.00,1059.50,0.35
15/12/2015,1061.80,1060.20,1067.80,1057.60,0.33
16/12/2015,1076.90,1060.70,1077.60,1060.70,0.60
17/12/2015,1049.70,1071.30,1071.70,1046.70,0.54
18/12/2015,1065.00,1051.10,1070.00,1051.10,0.42
21/12/2015,1080.60,1065.20,1080.90,1063.30,0.23
22/12/2015,1074.10,1079.60,1080.30,1071.50,0.12
23/12/2015,1068.30,1072.90,1074.60,1067.80,0.33
24/12/2015,1076.10,1070.90,1076.90,1070.70,0.22
28/12/2015,1068.90,1076.60,1076.60,1066.70,0.21
29/12/2015,1068.30,1071.70,1074.80,1067.90,0.25
30/12/2015,1059.80,1068.20,1071.50,1058.50,98.71
31/12/2015,1060.20,1060.60,1062.70,1056.50,55.71
04/01/2016,1075.20,1061.50,1083.00,1061.00,159.79
05/01/2016,1078.40,1073.50,1081.50,1071.90,104.64
06/01/2016,1091.90,1076.80,1094.90,1074.40,191.80
07/01/2016,1107.80,1093.70,1109.90,1091.10,217.27
08/01/2016,1097.90,1108.80,1113.10,1091.80,193.45
11/01/2016,1096.20,1103.60,1108.30,1093.10,193.21
12/01/2016,1085.20,1094.00,1099.10,1083.10,167.65
13/01/2016,1087.10,1086.80,1095.60,1079.40,156.11
14/01/2016,1073.60,1093.60,1095.40,1071.10,174.24
15/01/2016,1090.70,1079.20,1097.50,1076.00,173.46
17/01/2016,1090.30,1088.60,1090.80,1088.60,0
18/01/2016,1088.50,1090.20,1093.30,1087.40,0
19/01/2016,1089.10,1089.30,1094.50,1082.10,160.11
20/01/2016,1106.20,1087.30,1109.90,1087.10,193.28
21/01/2016,1098.20,1100.90,1104.80,1092.50,178.74
22/01/2016,1096.30,1101.60,1103.50,1094.40,142.74
25/01/2016,1105.30,1097.80,1109.20,1097.60,176.36
26/01/2016,1120.20,1108.20,1123.20,1107.20,197.69
27/01/2016,1115.80,1119.90,1128.00,1114.90,168.71
28/01/2016,1115.60,1125.00,1125.90,1110.00,1.46
29/01/2016,1116.50,1115.20,1118.70,1108.60,1.04
01/02/2016,1128.00,1116.50,1130.00,1116.50,0.89
02/02/2016,1127.20,1128.10,1131.50,1122.70,0.82
03/02/2016,1141.20,1128.00,1145.80,1124.90,1.30
04/02/2016,1157.20,1142.60,1157.20,1140.30,0.85
05/02/2016,1157.40,1155.10,1174.60,1145.40,1.46
08/02/2016,1197.60,1173.40,1201.10,1164.60,2.17
09/02/2016,1198.40,1191.20,1199.00,1185.80,1.52
10/02/2016,1194.30,1189.50,1197.60,1181.50,1.24
11/02/2016,1247.50,1196.50,1263.40,1196.50,3.48
12/02/2016,1239.00,1246.30,1248.20,1232.60,1.76
14/02/2016,1233.60,1235.70,1235.90,1231.40,0
15/02/2016,1208.10,1234.00,1235.10,1202.80,0
16/02/2016,1207.70,1236.00,1236.00,1191.80,6.00
17/02/2016,1210.90,1201.20,1213.90,1195.80,1.09
18/02/2016,1225.80,1209.10,1240.00,1200.80,1.99
19/02/2016,1230.30,1230.90,1234.90,1220.30,1.07
22/02/2016,1209.70,1226.50,1226.50,1202.50,1.58
23/02/2016,1222.20,1209.10,1228.50,1207.40,1.80
24/02/2016,1238.70,1226.10,1253.20,1222.20,2.31
25/02/2016,1238.20,1227.50,1242.50,1222.00,1.35
26/02/2016,1220.40,1232.50,1241.30,1212.00,218.71
29/02/2016,1234.40,1223.10,1241.80,1216.30,183.45
01/03/2016,1230.80,1238.90,1249.30,1227.70,225.61
02/03/2016,1241.80,1232.30,1244.80,1225.10,182.78
03/03/2016,1258.20,1240.80,1269.30,1238.00,226.30
04/03/2016,1270.70,1264.60,1280.70,1250.10,361.18
07/03/2016,1264.00,1260.50,1274.10,1257.40,212.79
08/03/2016,1262.90,1267.90,1279.00,1261.00,206.13
09/03/2016,1257.40,1262.20,1265.70,1243.60,223.14
10/03/2016,1272.80,1253.70,1274.30,1237.50,304.98
11/03/2016,1259.40,1272.00,1287.80,1249.00,235.78
14/03/2016,1245.10,1250.90,1261.90,1229.90,207.56
15/03/2016,1231.00,1237.00,1238.70,1226.00,185.33
16/03/2016,1229.80,1233.10,1264.80,1227.00,203.81
17/03/2016,1265.00,1262.00,1271.90,1255.20,208.12
18/03/2016,1254.30,1257.70,1267.70,1248.40,158.07
21/03/2016,1244.20,1255.20,1256.70,1241.20,176.62
22/03/2016,1248.60,1244.30,1260.90,1242.80,195.73
23/03/2016,1224.00,1248.50,1249.80,1215.40,266.17
24/03/2016,1221.60,1220.70,1224.20,1211.20,169.70
25/03/2016,1216.70,1216.70,1216.70,1216.70,0
28/03/2016,1220.10,1216.00,1223.20,1206.00,142.68
29/03/2016,1235.80,1221.50,1243.40,1215.30,189.73
30/03/2016,1227.80,1242.30,1245.40,1224.10,2.69
31/03/2016,1234.90,1226.50,1240.90,1224.50,1.53
01/04/2016,1222.80,1233.40,1236.20,1209.90,2.66
04/04/2016,1218.60,1222.10,1223.20,1215.50,1.61
05/04/2016,1228.90,1216.30,1237.80,1215.70,1.25
06/04/2016,1223.00,1232.40,1233.00,1217.00,1.78
07/04/2016,1236.70,1223.70,1244.10,1223.60,1.65
08/04/2016,1243.10,1239.70,1243.70,1231.10,0.90
11/04/2016,1257.30,1243.00,1260.00,1243.00,1.30
12/04/2016,1260.10,1259.20,1263.30,1252.80,0.90
13/04/2016,1247.50,1257.10,1257.70,1241.30,0.75
14/04/2016,1225.70,1243.00,1245.00,1225.00,1.07
15/04/2016,1233.70,1228.00,1236.50,1226.80,1.04
18/04/2016,1234.00,1237.00,1242.10,1231.50,1.25
19/04/2016,1253.30,1231.60,1256.80,1228.50,1.07
20/04/2016,1253.40,1251.00,1258.10,1243.10,0.74
21/04/2016,1249.30,1243.80,1271.10,1243.70,2.17
22/04/2016,1229.10,1250.30,1252.90,1228.10,1.07
25/04/2016,1239.40,1233.30,1242.60,1231.00,0.99
26/04/2016,1242.60,1238.70,1245.40,1232.30,0.80
27/04/2016,1249.60,1244.00,1251.50,1241.00,0.55
28/04/2016,1266.40,1247.30,1271.70,1239.10,227.21
29/04/2016,1290.50,1268.00,1299.00,1267.00,273.99
02/05/2016,1295.80,1293.20,1306.00,1289.60,198.26
03/05/2016,1291.80,1293.40,1303.90,1284.00,214.99
04/05/2016,1274.40,1287.70,1291.80,1273.60,212.95
05/05/2016,1272.30,1281.20,1288.40,1270.60,174.58
06/05/2016,1294.00,1279.30,1297.70,1276.20,257.61
09/05/2016,1266.60,1286.70,1289.50,1262.80,225.23
10/05/2016,1264.80,1265.40,1272.00,1258.30,174.08
11/05/2016,1275.50,1267.30,1280.80,1266.30,239.70
12/05/2016,1271.20,1279.30,1282.50,1262.90,218.10
13/05/2016,1272.70,1264.80,1277.70,1264.00,174.35
16/05/2016,1274.20,1273.10,1290.40,1271.60,198.78
17/05/2016,1276.90,1274.90,1283.90,1270.10,205.19
18/05/2016,1274.40,1280.60,1283.50,1256.00,233.58
19/05/2016,1254.80,1259.10,1262.30,1244.60,270.06
20/05/2016,1252.90,1256.30,1261.20,1249.60,205.16
23/05/2016,1251.50,1251.70,1256.80,1243.50,218.72
24/05/2016,1229.20,1249.50,1252.80,1226.20,322.96
25/05/2016,1223.80,1227.30,1230.20,1217.70,246.05
26/05/2016,1220.40,1223.60,1234.60,1218.40,199.78
27/05/2016,1215.20,1221.30,1224.40,1207.90,2.73
30/05/2016,1212.15,1208.25,1213.15,1201.80,0
31/05/2016,1216.20,1212.10,1219.20,1200.90,2.23
01/06/2016,1213.40,1216.50,1221.40,1206.80,2.59
02/06/2016,1211.20,1213.40,1218.40,1210.90,1.37
03/06/2016,1241.50,1211.50,1246.00,1207.70,2.97
06/06/2016,1245.90,1244.30,1249.30,1241.10,1.03
07/06/2016,1245.50,1245.80,1247.40,1235.90,0.61
08/06/2016,1260.80,1245.10,1265.50,1244.50,2.06
09/06/2016,1271.20,1263.00,1272.80,1258.70,0.93
10/06/2016,1274.40,1270.90,1279.10,1266.00,0.93
13/06/2016,1285.40,1277.20,1288.50,1273.80,0.94
14/06/2016,1286.60,1283.80,1291.40,1278.20,1.27
15/06/2016,1286.80,1286.00,1298.30,1279.90,3.07
16/06/2016,1296.80,1294.70,1317.00,1279.90,3.68
17/06/2016,1293.20,1280.80,1301.00,1278.90,1.32
20/06/2016,1290.40,1291.00,1293.30,1279.60,0.69
21/06/2016,1270.90,1290.00,1295.00,1266.00,1.22
22/06/2016,1268.40,1270.70,1271.50,1262.60,0.84
23/06/2016,1261.60,1264.80,1273.30,1256.20,0.53
24/06/2016,1319.70,1252.40,1360.10,1252.40,4.41
27/06/2016,1322.00,1325.00,1336.20,1318.80,1.75
28/06/2016,1314.90,1325.20,1325.70,1306.00,1.07
29/06/2016,1326.90,1313.90,1331.00,1313.30,176.82
30/06/2016,1320.60,1321.00,1326.50,1315.30,192.95
01/07/2016,1339.00,1324.80,1347.00,1323.10,223.73
03/07/2016,1345.50,1344.50,1347.55,1338.85,0
04/07/2016,1352.00,1345.00,1360.15,1343.00,0
05/07/2016,1358.70,1345.00,1360.30,1338.50,353.81
06/07/2016,1367.10,1358.00,1377.50,1356.30,237.06
07/07/2016,1362.10,1365.70,1372.90,1352.00,218.46
08/07/2016,1358.40,1361.00,1371.80,1336.30,301.19
11/07/2016,1356.60,1368.90,1376.50,1351.80,230.70
12/07/2016,1335.30,1356.30,1358.90,1331.00,257.34
13/07/2016,1343.60,1334.00,1346.30,1328.10,204.59
14/07/2016,1332.20,1344.50,1348.00,1320.40,264.33
15/07/2016,1327.40,1336.40,1339.50,1322.60,191.83
18/07/2016,1329.30,1333.40,1336.00,1323.50,163.21
19/07/2016,1332.30,1329.10,1335.50,1325.80,150.62
20/07/2016,1319.30,1332.20,1338.80,1312.50,224.99
21/07/2016,1331.00,1316.20,1334.00,1310.70,253.46
22/07/2016,1323.40,1331.40,1334.00,1319.40,232.26
25/07/2016,1319.50,1322.70,1323.40,1311.10,263.66
26/07/2016,1320.80,1315.50,1324.40,1313.60,203.41
27/07/2016,1326.70,1319.90,1342.30,1315.60,215.39
28/07/2016,1334.60,1341.00,1345.50,1332.40,2.47
29/07/2016,1350.30,1334.80,1354.70,1328.40,2.69
01/08/2016,1352.80,1350.00,1355.10,1346.50,0.77
02/08/2016,1365.70,1352.90,1367.20,1347.00,3.34
03/08/2016,1357.00,1363.20,1366.20,1353.80,3.00
04/08/2016,1359.70,1356.60,1363.60,1347.90,3.52
05/08/2016,1337.30,1359.10,1363.00,1333.70,4.21
08/08/2016,1334.20,1332.80,1336.50,1328.90,2.76
09/08/2016,1339.90,1333.60,1341.70,1329.20,1.42
10/08/2016,1345.30,1340.70,1356.60,1340.70,1.08
11/08/2016,1343.50,1346.60,1352.00,1335.70,0.84
12/08/2016,1336.80,1337.30,1355.10,1333.40,1.16
15/08/2016,1341.30,1337.00,1342.40,1334.90,0.61
16/08/2016,1351.00,1341.70,1358.00,1341.00,1.36
17/08/2016,1343.20,1346.80,1349.90,1335.00,1.07
18/08/2016,1351.20,1347.60,1354.90,1345.20,0.67
19/08/2016,1340.50,1350.90,1350.90,1336.90,0.50
22/08/2016,1337.60,1339.20,1339.20,1330.00,0.95
23/08/2016,1340.30,1335.00,1343.10,1334.10,0.40
24/08/2016,1324.30,1336.50,1338.20,1321.90,0.93
25/08/2016,1320.00,1323.30,1325.90,1316.50,1.26
26/08/2016,1321.40,1320.10,1340.80,1317.00,1.11
29/08/2016,1322.60,1318.70,1323.20,1314.30,0.44
30/08/2016,1313.00,1323.20,1325.40,1308.60,3.73
31/08/2016,1307.90,1311.20,1315.60,1303.60,4.11
01/09/2016,1313.60,1308.20,1315.10,1302.10,5.37
02/09/2016,1323.20,1314.10,1330.30,1304.00,6.87
04/09/2016,1326.25,1328.20,1328.75,1326.15,0
05/09/2016,1331.10,1326.35,1332.15,1325.55,0
06/09/2016,1350.40,1323.40,1353.30,1322.10,9.08
07/09/2016,1345.30,1349.50,1353.80,1343.20,5.82
08/09/2016,1337.80,1345.00,1349.50,1335.50,4.42
09/09/2016,1330.70,1338.00,1339.60,1327.30,3.88
12/09/2016,1321.60,1327.70,1329.80,1319.20,8.02
13/09/2016,1319.60,1326.90,1331.60,1314.80,6.71
14/09/2016,1322.00,1318.50,1325.80,1312.70,4.42
15/09/2016,1314.00,1321.70,1328.00,1308.20,9.85
16/09/2016,1306.20,1314.50,1317.00,1305.40,8.17
19/09/2016,1313.80,1308.90,1317.50,1308.70,4.33
20/09/2016,1314.00,1312.40,1317.10,1311.30,14.03
21/09/2016,1327.20,1314.10,1337.00,1306.70,8.90
22/09/2016,1340.70,1333.40,1343.40,1331.40,5.87
23/09/2016,1337.50,1336.60,1340.20,1333.60,5.69
26/09/2016,1339.80,1336.60,1341.80,1332.50,7.36
27/09/2016,1326.00,1338.10,1338.90,1323.30,19.95
28/09/2016,1319.40,1326.40,1326.90,1316.90,10.55
29/09/2016,1324.00,1324.90,1326.70,1317.00,0.76
30/09/2016,1315.10,1323.70,1329.20,1314.90,0.59
03/10/2016,1310.70,1319.10,1320.00,1310.00,0.35
04/10/2016,1268.20,1313.40,1313.40,1267.80,1.61
05/10/2016,1266.90,1269.50,1277.30,1262.80,0.54
06/10/2016,1251.40,1267.90,1269.30,1250.60,0.79
07/10/2016,1250.30,1255.00,1265.40,1242.00,0.78
10/10/2016,1258.70,1257.60,1265.10,1257.20,0.58
11/10/2016,1254.20,1260.10,1262.10,1253.00,0.42
12/10/2016,1252.30,1254.80,1257.50,1250.00,0.53
13/10/2016,1256.10,1254.00,1262.00,1253.70,0.42
14/10/2016,1254.00,1257.90,1257.90,1246.90,0.37
17/10/2016,1255.10,1250.50,1256.10,1249.80,0.12
18/10/2016,1261.50,1255.20,1263.30,1254.50,0.43
19/10/2016,1268.40,1262.40,1272.10,1260.00,0.62
20/10/2016,1266.10,1269.00,1274.20,1264.40,0.39
21/10/2016,1266.40,1263.40,1267.20,1261.00,0.26
24/10/2016,1262.40,1265.40,1270.70,1260.40,0.55
25/10/2016,1272.20,1263.80,1275.10,1263.80,0.45
26/10/2016,1265.20,1272.70,1275.10,1264.30,0.89
27/10/2016,1268.20,1265.00,1272.20,1265.00,0.34
28/10/2016,1276.80,1269.20,1285.40,1262.00,232.89
31/10/2016,1273.10,1278.30,1280.50,1271.90,123.70
01/11/2016,1288.00,1277.80,1292.90,1276.30,207.26
02/11/2016,1308.20,1289.00,1309.30,1288.40,241.70
03/11/2016,1303.30,1298.10,1308.00,1286.20,228.55
04/11/2016,1304.50,1303.20,1308.30,1295.70,217.45
07/11/2016,1279.40,1294.50,1296.50,1278.60,221.68
08/11/2016,1274.50,1282.20,1291.50,1273.30,202.50
09/11/2016,1273.50,1276.80,1338.30,1268.10,816.53
10/11/2016,1266.40,1278.40,1292.50,1251.90,413.56
11/11/2016,1224.30,1258.70,1265.00,1218.70,444.59
14/11/2016,1221.70,1227.70,1230.90,1211.00,351.97
15/11/2016,1224.50,1221.80,1231.40,1218.60,234.17
16/11/2016,1223.90,1228.00,1233.10,1221.00,204.45
17/11/2016,1216.90,1224.80,1231.10,1210.50,237.79
18/11/2016,1208.70,1216.00,1217.50,1201.30,257.11
21/11/2016,1209.80,1207.30,1217.80,1205.40,167.83
22/11/2016,1211.20,1213.50,1220.90,1205.60,210.55
23/11/2016,1189.30,1212.60,1214.70,1181.20,367.81
24/11/2016,1185.55,1189.20,1190.30,1179.75,0
25/11/2016,1178.40,1189.40,1192.70,1170.30,300.28
28/11/2016,1190.80,1184.40,1197.20,1182.40,189.91
29/11/2016,1189.30,1195.00,1196.00,1181.10,2.22
30/11/2016,1172.40,1188.70,1195.00,1169.70,2.32
01/12/2016,1168.10,1174.10,1177.00,1161.00,1.65
02/12/2016,1176.50,1173.20,1178.40,1167.20,1.35
05/12/2016,1175.20,1179.30,1188.50,1158.00,1.64
06/12/2016,1168.80,1170.90,1175.50,1167.00,0.57
07/12/2016,1176.20,1169.90,1180.70,1167.40,0.83
08/12/2016,1171.10,1174.90,1179.30,1169.80,0.57
09/12/2016,1160.60,1170.60,1172.10,1157.60,0.85
12/12/2016,1164.70,1158.00,1166.10,1151.40,1.09
13/12/2016,1157.80,1164.10,1165.20,1155.30,0.78
14/12/2016,1162.40,1158.10,1166.60,1140.70,1.40
15/12/2016,1128.60,1143.60,1144.20,1124.70,1.47
16/12/2016,1135.90,1129.60,1141.50,1127.50,1.72
19/12/2016,1141.00,1134.10,1142.10,1134.10,1.07
20/12/2016,1132.00,1138.50,1139.20,1126.60,0.82
21/12/2016,1131.60,1132.40,1136.80,1129.70,0.33
22/12/2016,1129.10,1131.60,1133.50,1127.70,0.20
23/12/2016,1132.00,1130.30,1135.30,1129.90,0.33
25/12/2016,1135.00,1135.00,1135.00,1135.00,0
26/12/2016,1134.55,1135.00,1136.05,1134.00,0
27/12/2016,1137.40,1134.20,1149.30,1132.70,0.97
28/12/2016,1139.20,1138.50,1143.00,1136.60,1.57
29/12/2016,1158.10,1143.10,1160.60,1142.60,158.03
30/12/2016,1151.70,1159.50,1164.30,1150.30,143.85
02/01/2017,1151.05,1151.00,1153.25,1150.00,0
03/01/2017,1162.00,1151.40,1166.00,1146.50,229.18
04/01/2017,1165.30,1159.60,1168.60,1156.70,179.88
05/01/2017,1181.30,1164.60,1185.90,1163.60,272.12
06/01/2017,1173.40,1181.00,1183.80,1171.10,226.43
09/01/2017,1184.90,1172.90,1186.40,1172.20,179.03
10/01/2017,1185.50,1181.30,1190.60,1180.20,224.81
11/01/2017,1196.60,1188.10,1198.50,1177.00,328.69
12/01/2017,1199.80,1191.10,1207.20,1190.70,269.32
13/01/2017,1196.20,1194.80,1201.80,1187.50,288.62
15/01/2017,1203.35,1197.30,1205.05,1197.30,0
16/01/2017,1202.85,1203.25,1208.45,1200.00,0
17/01/2017,1212.90,1199.40,1218.90,1198.00,381.42
18/01/2017,1212.10,1216.80,1217.70,1201.80,203.65
19/01/2017,1201.50,1203.10,1206.40,1195.40,247.40
20/01/2017,1204.90,1204.80,1214.80,1198.20,244.34
23/01/2017,1215.60,1209.30,1219.40,1209.00,237.41
24/01/2017,1210.80,1218.00,1220.10,1206.20,216.01
25/01/2017,1197.80,1208.60,1209.30,1192.60,299.18
26/01/2017,1189.80,1200.70,1202.30,1183.90,244.31
27/01/2017,1188.40,1188.50,1191.00,1179.70,234.35
30/01/2017,1194.50,1191.60,1199.90,1188.50,2.69
31/01/2017,1209.80,1195.90,1215.70,1194.50,2.63
01/02/2017,1206.90,1210.70,1212.60,1198.60,1.64
02/02/2017,1218.00,1209.90,1226.00,1209.50,2.45
03/02/2017,1219.60,1216.40,1221.70,1207.00,3.28
06/02/2017,1230.90,1220.70,1236.20,1219.50,1.75
